id_branzy,nazwa
1,B1
2,B2
3,B3
4,B4
5,B5
6,B6
7,B7
8,B8
9,B9
10,B10
11,B11
12,B12
13,B13
14,B14
15,B15
16,B16
17,B17
18,B18
19,B19
20,B20
21,B21
22,B22
23,B23
24,B24
25,B25
26,B26
27,B27
28,B28
29,B29
30,B30
31,B31
32,B32
33,B33
34,B34
35,B35
36,B36
37,B37
38,B38
39,B39
40,B40
41,B41
42,B42
43,B43
44,B44
45,B45
46,B46
47,B47
48,B48
49,B49
50,B50
51,B51
52,B52
53,B53
54,B54
55,B55
56,B56
57,B57
58,B58
59,B59
60,B60
61,B61
62,B62
63,B63
64,B64
65,B65
66,B66
67,B67
68,B68
69,B69
70,B70
71,B71
72,B72
73,B73
74,B74
75,B75
76,B76
77,B77
78,B78
79,B79
80,B80
81,B81
82,B82
83,B83
84,B84
85,B85
86,B86
87,B87
88,B88
89,B89
90,B90
91,B91
92,B92
93,B93
94,B94
95,B95
96,B96
97,B97
98,B98
99,B99
100,B100
101,B101
102,B102
103,B103
104,B104
105,B105
106,B106
107,B107
108,B108
109,B109
110,B110
111,B111
112,B112
113,B113
114,B114
115,B115
116,B116
117,B117
118,B118
119,B119
120,B120
121,B121
122,B122
123,B123
124,B124
125,B125
126,B126
127,B127
128,B128
129,B129
130,B130
131,B131
132,B132
133,B133
134,B134
135,B135
136,B136
137,B137
138,B138
139,B139
140,B140
141,B141
142,B142
143,B143
144,B144
145,B145
146,B146
147,B147
148,B148
149,B149
150,B150
151,B151
152,B152
153,B153
154,B154
155,B155
156,B156
157,B157
158,B158
159,B159
160,B160
161,B161
162,B162
163,B163
164,B164
165,B165
166,B166
167,B167
168,B168
169,B169
170,B170
171,B171
172,B172
173,B173
174,B174
175,B175
176,B176
177,B177
178,B178
179,B179
180,B180
181,B181
182,B182
183,B183
184,B184
185,B185
186,B186
187,B187
188,B188
189,B189
190,B190
191,B191
192,B192
193,B193
194,B194
195,B195
196,B196
197,B197
198,B198
199,B199
200,B200