id_przyczyny_zwrotu,nazwa
1,przyczyna1
2,przyczyna2
3,przyczyna3
4,przyczyna4
5,przyczyna5
6,przyczyna6
7,przyczyna7
8,przyczyna8
9,przyczyna9
10,przyczyna10
11,przyczyna11
12,przyczyna12
13,przyczyna13
14,przyczyna14
15,przyczyna15
16,przyczyna16
17,przyczyna17
18,przyczyna18
19,przyczyna19
20,przyczyna20
21,przyczyna21
22,przyczyna22
23,przyczyna23
24,przyczyna24
25,przyczyna25
26,przyczyna26
27,przyczyna27
28,przyczyna28
29,przyczyna29
30,przyczyna30
31,przyczyna31
32,przyczyna32
33,przyczyna33
34,przyczyna34
35,przyczyna35
36,przyczyna36
37,przyczyna37
38,przyczyna38
39,przyczyna39
40,przyczyna40
41,przyczyna41
42,przyczyna42
43,przyczyna43
44,przyczyna44
45,przyczyna45
46,przyczyna46
47,przyczyna47
48,przyczyna48
49,przyczyna49
50,przyczyna50
51,przyczyna51
52,przyczyna52
53,przyczyna53
54,przyczyna54
55,przyczyna55
56,przyczyna56
57,przyczyna57
58,przyczyna58
59,przyczyna59
60,przyczyna60
61,przyczyna61
62,przyczyna62
63,przyczyna63
64,przyczyna64
65,przyczyna65
66,przyczyna66
67,przyczyna67
68,przyczyna68
69,przyczyna69
70,przyczyna70
71,przyczyna71
72,przyczyna72
73,przyczyna73
74,przyczyna74
75,przyczyna75
76,przyczyna76
77,przyczyna77
78,przyczyna78
79,przyczyna79
80,przyczyna80
81,przyczyna81
82,przyczyna82
83,przyczyna83
84,przyczyna84
85,przyczyna85
86,przyczyna86
87,przyczyna87
88,przyczyna88
89,przyczyna89
90,przyczyna90
91,przyczyna91
92,przyczyna92
93,przyczyna93
94,przyczyna94
95,przyczyna95
96,przyczyna96
97,przyczyna97
98,przyczyna98
99,przyczyna99
100,przyczyna100
101,przyczyna101
102,przyczyna102
103,przyczyna103
104,przyczyna104
105,przyczyna105
106,przyczyna106
107,przyczyna107
108,przyczyna108
109,przyczyna109
110,przyczyna110
111,przyczyna111
112,przyczyna112
113,przyczyna113
114,przyczyna114
115,przyczyna115
116,przyczyna116
117,przyczyna117
118,przyczyna118
119,przyczyna119
120,przyczyna120
121,przyczyna121
122,przyczyna122
123,przyczyna123
124,przyczyna124
125,przyczyna125
126,przyczyna126
127,przyczyna127
128,przyczyna128
129,przyczyna129
130,przyczyna130
131,przyczyna131
132,przyczyna132
133,przyczyna133
134,przyczyna134
135,przyczyna135
136,przyczyna136
137,przyczyna137
138,przyczyna138
139,przyczyna139
140,przyczyna140
141,przyczyna141
142,przyczyna142
143,przyczyna143
144,przyczyna144
145,przyczyna145
146,przyczyna146
147,przyczyna147
148,przyczyna148
149,przyczyna149
150,przyczyna150
151,przyczyna151
152,przyczyna152
153,przyczyna153
154,przyczyna154
155,przyczyna155
156,przyczyna156
157,przyczyna157
158,przyczyna158
159,przyczyna159
160,przyczyna160
161,przyczyna161
162,przyczyna162
163,przyczyna163
164,przyczyna164
165,przyczyna165
166,przyczyna166
167,przyczyna167
168,przyczyna168
169,przyczyna169
170,przyczyna170
171,przyczyna171
172,przyczyna172
173,przyczyna173
174,przyczyna174
175,przyczyna175
176,przyczyna176
177,przyczyna177
178,przyczyna178
179,przyczyna179
180,przyczyna180
181,przyczyna181
182,przyczyna182
183,przyczyna183
184,przyczyna184
185,przyczyna185
186,przyczyna186
187,przyczyna187
188,przyczyna188
189,przyczyna189
190,przyczyna190
191,przyczyna191
192,przyczyna192
193,przyczyna193
194,przyczyna194
195,przyczyna195
196,przyczyna196
197,przyczyna197
198,przyczyna198
199,przyczyna199
200,przyczyna200